feature,importance
Revenue_lag_1,0.31201217
Revenue_roll7_min,0.056321114
COGS_lag_1,0.04505239
Revenue_roll90_max,0.032844093
Revenue_md_prior_mean,0.032163266
COGS_lag_364,0.029021265
Revenue_roll14_min,0.019864326
dayofmonth,0.015570578
year_index,0.015120295
Revenue_roll3_min,0.014156508
Revenue_roll30_max,0.010911044
Revenue_lag_364,0.010771802
Revenue_lag_7,0.010480275
COGS_md_prior_mean,0.010357294
year,0.008483847
gross_margin_lag_1,0.0076262197
COGS_roll365_max,0.0073696435
Revenue_lag_28,0.00693161
COGS_roll180_max,0.0068632606
COGS_lag_28,0.0063202884
COGS_lag_365,0.006172943
month_sin,0.0057218648
COGS_lag_7,0.0055433726
Revenue_lag_365,0.005497116
Revenue_roll7_mean,0.0050745406
COGS_roll7_mean,0.005072268
Revenue_lag_14,0.0050010816
COGS_roll30_max,0.0048536803
Revenue_ewm14_mean,0.0047269138
dayofweek,0.004648228
dow_cos,0.0044519976
Revenue_roll28_median,0.0044289804
Revenue_roll7_median,0.0041586454
COGS_roll365_median,0.0040446147
Revenue_roll365_min,0.003968423
Revenue_roll56_mean,0.0038402374
revenue_cogs_ratio_lag_1,0.003827069
is_month_start,0.0037987037
Revenue_roll365_median,0.0037717433
COGS_roll14_min,0.0037402348
year_sin,0.0037127915
COGS_roll7_min,0.0036420072
Revenue_roll30_vs_roll90,0.0035573891
COGS_lag_90,0.0033392229
Revenue_roll365_mean,0.003299118
COGS_roll365_mean,0.0032756228
Revenue_roll365_max,0.0032212113
Revenue_roll28_std,0.003218776
COGS_lag_14,0.0031454726
Revenue_roll14_median,0.0031345491
Revenue_roll180_median,0.0031136153
COGS_lag1_vs_roll7,0.0030887912
COGS_lag_180,0.0030501836
Revenue_roll56_max,0.0030262882
Revenue_lag1_vs_roll7,0.003020562
Revenue_roll180_min,0.002967651
dow_sin,0.0029561156
Revenue_roll7_max,0.002928541
Revenue_lag_90,0.0029250716
Revenue_roll28_mean,0.002865211
COGS_roll56_std,0.002764241
is_fixed_holiday,0.0027402334
COGS_roll180_std,0.002728756
COGS_roll30_min,0.0027236508
COGS_roll7_median,0.002693082
COGS_roll56_min,0.0026826751
COGS_roll365_std,0.0026798544
COGS_roll56_max,0.002672394
gross_margin_rate_lag_1,0.002664132
COGS_roll30_vs_roll90,0.0026578975
COGS_roll90_max,0.0026493717
COGS_roll14_median,0.0026173808
COGS_lag_56,0.0025570763
COGS_ewm30_mean,0.002551724
Revenue_roll180_mean,0.0025475444
Revenue_roll30_std,0.0025003706
Revenue_roll30_min,0.0024448303
COGS_roll7_max,0.0024414062
COGS_roll30_std,0.0024272709
COGS_roll3_max,0.0024049855
dayofyear,0.002388852
COGS_roll7_vs_roll30,0.002372085
year_cos,0.00236714
Revenue_lag_180,0.0023420274
COGS_lag_30,0.0023291241
Revenue_roll56_std,0.0023112618
Revenue_roll3_median,0.0022691756
COGS_roll56_mean,0.0022190388
month,0.0021748904
Revenue_roll56_median,0.0021609964
Revenue_roll3_mean,0.0021606833
COGS_lag_21,0.0021506085
COGS_roll3_min,0.0021415874
month_cos,0.0021195614
Revenue_roll7_vs_roll30,0.0021108254
days_to_tet,0.0021018235
COGS_roll14_mean,0.0021008314
COGS_ewm7_mean,0.0020967817
Revenue_lag_56,0.0020729995
COGS_lag_3,0.0020563805
Revenue_roll365_std,0.0019970841
Revenue_md_prior_std,0.0019742541
COGS_md_prior_std,0.001929404
Revenue_roll56_min,0.0019281515
COGS_roll28_mean,0.0018721744
Revenue_roll14_max,0.0018597448
COGS_roll28_std,0.0018573473
Revenue_roll14_std,0.0018228751
COGS_roll7_std,0.0018223332
Revenue_lag_21,0.0018022965
weekofyear,0.0017699397
COGS_roll3_median,0.0017664575
Revenue_roll30_median,0.0017641991
COGS_roll180_median,0.0017554553
Revenue_roll90_vs_roll365,0.001752776
COGS_roll14_std,0.0017219073
Revenue_roll14_mean,0.0017145732
Revenue_lag_30,0.0017021624
COGS_roll28_max,0.001680288
Revenue_roll30_mean,0.0016776222
Revenue_roll180_std,0.0016613634
days_after_tet,0.0016553702
Revenue_roll28_min,0.0016537991
COGS_ewm14_mean,0.0016319887
COGS_roll3_mean,0.0016260965
COGS_roll14_max,0.0016162567
Revenue_lag_2,0.0015876488
COGS_roll28_min,0.0015861345
Revenue_roll90_min,0.001547816
tet_proximity,0.0015224919
COGS_roll180_mean,0.0015056649
Revenue_ewm90_mean,0.0015041736
Revenue_roll7_std,0.0014938582
COGS_roll3_std,0.00148358
Revenue_ewm7_mean,0.0014691085
COGS_roll180_min,0.0014690637
Revenue_roll3_std,0.0014688974
Revenue_ewm30_mean,0.0014588031
COGS_roll365_min,0.0014583
COGS_lag_2,0.0013878911
COGS_roll90_vs_roll365,0.0013817245
Revenue_roll3_max,0.0013745086
COGS_roll30_mean,0.0013522039
COGS_roll30_median,0.0013453617
Revenue_lag_3,0.0013326689
is_month_end,0.0012578518
COGS_roll90_min,0.0012476903
COGS_roll90_median,0.0012350493
COGS_roll90_std,0.0012227952
COGS_roll90_mean,0.0011799146
COGS_roll28_median,0.0011667206
COGS_ewm90_mean,0.001108302
COGS_roll56_median,0.001102516
Revenue_roll90_mean,0.0010650487
Revenue_roll180_max,0.0010332147
Revenue_roll90_std,0.0009198409
Revenue_roll28_max,0.0008903065
Revenue_roll90_median,0.00067702576
is_black_friday,0.00065354246
quarter,0.0005969698
is_weekend,0.0005440486
is_pre_tet_2w,8.557363e-05
is_sale_day,0.0
is_year_start,0.0
is_1212,0.0
is_1111,0.0
is_year_end,0.0
is_quarter_start,0.0
is_quarter_end,0.0
is_tet_week,0.0
is_pre_tet_month,0.0
